,station number,bikes out,bikes in,diff,diff_abs,imbalance ratio
125,31125,963,956,-7,7,0.007322175732217573
126,31126,815,612,-203,203,0.33169934640522875
127,31127,477,446,-31,31,0.06950672645739911
128,31128,912,1045,133,133,0.14583333333333334
129,31129,441,596,155,155,0.35147392290249435
130,31200,1934,2489,555,555,0.2869700103412616
131,31201,2440,2668,228,228,0.09344262295081968
132,31202,1312,1489,177,177,0.13490853658536586
133,31203,1453,1568,115,115,0.0791465932553338
134,31204,559,567,8,8,0.014311270125223614
135,31205,662,800,138,138,0.2084592145015106
136,31206,215,230,15,15,0.06976744186046512
137,31207,237,132,-105,105,0.7954545454545454
138,31208,369,510,141,141,0.3821138211382114
139,31209,197,258,61,61,0.3096446700507614
140,31211,367,450,83,83,0.22615803814713897
141,31212,1143,1215,72,72,0.06299212598425197
142,31213,1046,1439,393,393,0.375717017208413
143,31214,1483,1584,101,101,0.06810519217801753
144,31215,352,686,334,334,0.9488636363636364
145,31216,618,691,73,73,0.11812297734627832
146,31217,623,627,4,4,0.006420545746388443
147,31218,734,799,65,65,0.0885558583106267
148,31219,518,680,162,162,0.3127413127413127
149,31220,481,475,-6,6,0.01263157894736842
150,31221,936,1077,141,141,0.15064102564102563
151,31222,844,912,68,68,0.08056872037914692
152,31223,1131,1056,-75,75,0.07102272727272728
153,31224,626,729,103,103,0.1645367412140575
154,31225,516,658,142,142,0.2751937984496124
155,31226,337,222,-115,115,0.5180180180180181
156,31227,764,922,158,158,0.20680628272251309
157,31228,1240,1538,298,298,0.2403225806451613
158,31229,1926,1876,-50,50,0.026652452025586353
159,31230,996,1222,226,226,0.22690763052208834
160,31231,600,750,150,150,0.25
161,31232,827,1050,223,223,0.26964933494558646
162,31233,960,1249,289,289,0.30104166666666665
163,31234,912,987,75,75,0.08223684210526316
164,31235,340,393,53,53,0.15588235294117647
165,31236,716,641,-75,75,0.11700468018720749
166,31237,760,870,110,110,0.14473684210526316
167,31238,843,939,96,96,0.11387900355871886
168,31239,962,1107,145,145,0.15072765072765074
169,31240,311,318,7,7,0.022508038585209004
170,31241,1616,1417,-199,199,0.14043754410726889
171,31242,822,791,-31,31,0.039190897597977246
172,31243,578,665,87,87,0.15051903114186851
173,31244,903,946,43,43,0.047619047619047616
174,31245,963,984,21,21,0.021806853582554516
175,31246,766,1056,290,290,0.3785900783289817
176,31247,1033,1137,104,104,0.10067763794772508
177,31248,833,846,13,13,0.015606242496998799
178,31249,758,821,63,63,0.08311345646437995
179,31250,536,557,21,21,0.03917910447761194
180,31251,780,750,-30,30,0.04
181,31252,519,544,25,25,0.04816955684007707
182,31253,542,555,13,13,0.023985239852398525
183,31254,709,786,77,77,0.10860366713681241
184,31255,789,807,18,18,0.022813688212927757
185,31256,555,732,177,177,0.31891891891891894
186,31257,871,871,0,0,0.0
187,31258,1301,1341,40,40,0.030745580322828592
188,31259,231,260,29,29,0.12554112554112554
189,31260,515,469,-46,46,0.09808102345415778
190,31261,247,310,63,63,0.2550607287449393
