,Station,bikes out,bikes in,diff,diff_abs,imbalance ratio,ratio,class,name,longitude,latitude
22,31023,150,126,-24,24,0.19047619047619047,-1.9047619047619047,0,Fairfax Dr & Wilson Blvd,-77.097745,38.885801
23,31024,406,375,-31,31,0.08266666666666668,-0.8266666666666667,0,Virginia Square Metro / Monroe St & 9th St N,-77.103148,38.882788
24,31025,105,93,-12,12,0.12903225806451613,-1.2903225806451613,0,Central Library / Quincy St & 10th St N,-77.10783,38.88397
25,31026,150,75,-75,75,1.0,-10.0,0,Washington Blvd & 10th St N,-77.093485,38.884734
26,31027,101,81,-20,20,0.2469135802469136,-2.4691358024691357,0,Key Blvd & N Quinn St,-77.078408,38.896355
27,31028,63,49,-14,14,0.2857142857142857,-2.8571428571428568,0,N Veitch St & Key Blvd,-77.086063,38.893237
28,31029,214,183,-31,31,0.16939890710382513,-1.6939890710382512,0,N Veitch St & 20th St N,-77.086502,38.896923
29,31030,285,190,-95,95,0.5,-5.0,0,Lee Hwy & N Adams St,-77.089006,38.89593
30,31031,152,119,-33,33,0.2773109243697479,-2.773109243697479,0,15th St & N Scott St,-77.08095,38.89054
31,31032,68,48,-20,20,0.4166666666666667,-4.166666666666667,0,Washington Blvd & 7th St N,-77.090792,38.88081
32,31033,30,33,3,3,0.1,1.0,1,Barcroft Community Center,-77.1009886264801,38.85033657788445
33,31034,138,123,-15,15,0.12195121951219512,-1.2195121951219512,0,Fairfax Dr & N Randolph St,-77.109366,38.882629
34,31035,128,100,-28,28,0.28,-2.8000000000000003,0,N Quincy St & Glebe Rd,-77.107735,38.876393
35,31036,137,113,-24,24,0.21238938053097345,-2.1238938053097343,0,George Mason Dr & Wilson Blvd,-77.1207,38.87887
36,31037,495,437,-58,58,0.13272311212814644,-1.3272311212814645,0,Ballston Metro / Stuart St & 9th St N,-77.111768,38.881044
37,31038,145,141,-4,4,0.02836879432624113,-0.2836879432624113,0,Glebe Rd & 11th St N,-77.116817,38.883921
38,31039,309,261,-48,48,0.1839080459770115,-1.839080459770115,0,Wilson Blvd & N Quincy St,-77.107854,38.880012
39,31040,138,92,-46,46,0.5,-5.0,0,GMU / Fairfax Dr & Kenmore St,-77.10108,38.884616
40,31041,105,212,107,107,1.019047619047619,10.19047619047619,1,Prince St & Union St,-77.040363,38.803124
41,31042,242,238,-4,4,0.01680672268907563,-0.1680672268907563,0,Market Square / King St & Royal St,-77.043363,38.804718
42,31043,83,85,2,2,0.024096385542168683,0.24096385542168675,1,Saint Asaph St & Pendleton  St,-77.044664,38.810743
43,31044,147,165,18,18,0.12244897959183673,1.2244897959183674,1,King St & Patrick St,-77.049883,38.805317
44,31045,82,89,7,7,0.08536585365853659,0.853658536585366,1,Commerce St & Fayette St,-77.05293,38.805648
45,31046,83,60,-23,23,0.38333333333333336,-3.8333333333333335,0,Henry St & Pendleton St,-77.050276,38.811456
46,31047,583,463,-120,120,0.2591792656587473,-2.591792656587473,0,Braddock Rd Metro,-77.052808,38.814577
47,31048,219,99,-120,120,1.2121212121212122,-12.121212121212121,0,King St Metro South,-77.060626745224,38.80576284873485
48,31049,104,89,-15,15,0.16853932584269662,-1.6853932584269662,0,Utah St & 11th St N ,-77.113905,38.883669
49,31050,104,96,-8,8,0.08333333333333333,-0.8333333333333333,0,Barton St & 10th St N,-77.08777,38.884961
50,31051,98,88,-10,10,0.11363636363636365,-1.1363636363636362,0,Arlington Blvd & N Queen St,-77.077294,38.889365
51,31052,123,147,24,24,0.1951219512195122,1.951219512195122,1,Potomac Ave & 35th St S,-77.050537,38.844015
52,31053,112,84,-28,28,0.3333333333333333,-3.333333333333333,0,Columbia Pike & S Courthouse Rd,-77.080319,38.863833
53,31054,12,16,4,4,0.3333333333333333,3.333333333333333,1,Walter Reed Dr & 16th St S,-77.086733,38.857803
54,31055,27,44,17,17,0.6296296296296297,6.296296296296297,1,28th St & S Meade St,-77.069275,38.846222
55,31056,52,47,-5,5,0.10638297872340426,-1.0638297872340425,0,Troy St & 26th St S,-77.075104,38.847977
56,31057,26,27,1,1,0.038461538461538464,0.38461538461538464,1,Four Mile Run Dr & S Shirlington Rd,-77.085931,38.8444
57,31058,19,18,-1,1,0.05555555555555555,-0.5555555555555556,0,Columbia Pike & S Oakland St,-77.09586,38.860789
58,31059,45,53,8,8,0.17777777777777778,1.777777777777778,1,Four Mile Run Dr & S Walter Reed Dr,-77.095431,38.84736
59,31060,64,85,21,21,0.328125,3.28125,1,S Arlington Mill Dr & Campbell Ave,-77.089555,38.84232
60,31061,8,10,2,2,0.25,2.5,1,Kenmore St & 24th St S,-77.084918,38.848454
61,31062,2,1,-1,1,1.0,-10.0,0,Roosevelt Island,-77.06714,38.896553
62,31063,34,29,-5,5,0.1724137931034483,-1.7241379310344829,0,S George Mason & Four Mile Run Dr,-77.105022,38.852248
63,31064,3,4,1,1,0.3333333333333333,3.333333333333333,1,Gravelly Point,-77.039511,38.865029
64,31065,112,99,-13,13,0.13131313131313133,-1.3131313131313131,0,Pershing Dr & Wayne St,-77.08596,38.880705
65,31066,51,57,6,6,0.1176470588235294,1.1764705882352942,1,Columbia Pike & S Orme St,-77.072315,38.867262
66,31067,100,120,20,20,0.2,2.0,1,Columbia Pike & S Walter Reed Dr,-77.086599,38.862478
67,31068,51,66,15,15,0.29411764705882354,2.9411764705882355,1,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,-77.11153,38.856319
68,31069,166,152,-14,14,0.09210526315789473,-0.9210526315789473,0,Pershing Dr & N George Mason Dr,-77.107906,38.871822
69,31070,72,106,34,34,0.4722222222222222,4.722222222222222,1,Arlington Blvd & Fillmore St,-77.089233,38.873755
70,31071,20,21,1,1,0.05,0.5,1,Eads St & 12th St S,-77.05428,38.862753
71,31072,12,4,-8,8,2.0,-20.0,0,31st St & S Woodrow St,-77.09482,38.837666
72,31073,59,47,-12,12,0.2553191489361702,-2.553191489361702,0,Washington Blvd & Walter Reed Dr ,-77.082104,38.873219
73,31074,84,108,24,24,0.2857142857142857,2.8571428571428568,1,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,-77.095596,38.869418
74,31075,36,36,0,0,0.0,0.0,1,Rolfe St & 9th St S,-77.076131,38.866471
75,31076,28,75,47,47,1.6785714285714286,16.785714285714285,1,Shirlington Transit Center / Quincy St & Randolph St,-77.087083,38.839912
76,31077,222,254,32,32,0.14414414414414414,1.4414414414414414,1,Iwo Jima Memorial / Meade & 14th St N,-77.071301,38.88992
77,31078,44,52,8,8,0.18181818181818185,1.8181818181818183,1,Arlington Blvd & S George Mason Dr,-77.104503,38.869442
78,31079,166,133,-33,33,0.2481203007518797,-2.481203007518797,0,Lee Hwy & N Cleveland St,-77.09169,38.894941
79,31080,217,162,-55,55,0.3395061728395062,-3.3950617283950617,0,Lee Hwy & N Scott St,-77.080851,38.897612
80,31081,109,72,-37,37,0.5138888888888888,-5.138888888888888,0,Duke St & John Carlyle St,-77.060866,38.804378
81,31082,101,69,-32,32,0.463768115942029,-4.63768115942029,0,Eisenhower Ave & Mill Race Ln,-77.068952,38.801111
82,31083,128,153,25,25,0.1953125,1.953125,1,Potomac Greens Dr & Slaters Ln,-77.047494,38.82175
83,31084,146,144,-2,2,0.013888888888888888,-0.1388888888888889,0,Ballenger Ave & Dulaney St,-77.063562,38.802677
84,31085,80,61,-19,19,0.3114754098360656,-3.114754098360656,0,Mount Vernon Ave & E Nelson Ave,-77.057619,38.820064
