,Station,Cluster Label,EM Label,name,longitude,latitude
313,31632,3,2,15th & F St NE,-76.983575,38.897195
314,31633,0,2,Independence Ave & L'Enfant Plaza SW/DOE,-77.025762,38.887312
315,31634,4,2,3rd & Tingey St SE,-77.0024,38.87501
316,31635,0,2,Potomac Ave & 8th St SE,-76.994468,38.876737
317,31636,2,0,New Jersey Ave & N St NW/Dunbar HS,-77.01536044478416,38.90733256111448
318,31637,0,2,North Capitol St & G Pl NE,-77.008911,38.899703
319,31638,4,2,1st & H St NW,-77.012108,38.900358
320,31639,4,2,2nd & G St NE,-77.003666,38.89967
321,31640,2,2,Maryland Ave & E St NE,-76.9929,38.896134
322,31641,4,2,2nd St & Massachusetts Ave NE,-77.003135,38.894972
323,31642,2,2,4th St & K St NW,-77.01600551605225,38.90240556584194
324,31643,4,2,1st & D St SE,-77.005965,38.884916
325,31644,2,2,12th St & Pennsylvania Ave SE,-76.990121,38.882489
326,31645,3,2,6th & K St NE,-76.99838876724243,38.90235129497938
327,31646,4,2,Maine Ave & 9th St SW,-77.025236,38.88044
328,31647,2,2,7th St & Massachusetts Ave NE,-76.99602,38.89222
329,31648,2,1,Potomac Ave & Half St SW,-77.01083689928055,38.870201045557025
330,31703,4,1,Minnesota Ave Metro/DOES,-76.947446,38.897063
331,31706,3,0,Fairfax Village,-76.952103,38.86559
332,31707,4,2,Benning Rd & East Capitol St NE / Benning Rd Metro,-76.93723,38.889935
333,31708,4,1,Anacostia Ave & Benning Rd NE / River Terrace ,-76.96012,38.896544
334,31712,3,2,Oklahoma Ave & D St NE,-76.974828,38.894474
335,31801,4,2,Anacostia Metro,-76.994637,38.862669
336,31802,0,2,Good Hope Rd & MLK Ave SE,-76.988039,38.867373
337,31803,2,0,Good Hope Rd & 14th St SE,-76.985238,38.866611
338,31804,1,1,Anacostia Library,-76.9784,38.865784
339,31805,2,0,Pennsylvania & Minnesota Ave SE,-76.971015,38.873057
340,31807,2,0,Pleasant St & MLK Ave SE,-76.990037,38.863897
341,31812,2,1,16th & Q St SE / Anacostia HS,-76.982359,38.870695
342,31820,4,1,Anacostia Park,-76.9834,38.87335
343,31900,2,0,Lee Hwy & N Woodstock St,-77.118009,38.898301
344,31901,4,1,Washington Blvd & N Frederick St,-77.127671,38.884829
345,31902,2,0,Wilson Blvd & N Illinois St ,-77.12712,38.876528
346,31903,4,1,Royal St & Wilkes St,-77.0447,38.799267
347,31904,4,1,East Falls Church Metro / Sycamore St & 19th St N,-77.15642720460892,38.88532071975074
348,31905,3,0,Kennebec St & 11th St N,-77.135271,38.880992
349,31906,3,0,Commonwealth Ave & Oak St,-77.061715,38.812711
350,31907,2,1,Franklin St & S Washington St,-77.0487,38.798133
351,31909,2,1,Mount Vernon Ave & Four Mile Run Park,-77.064016,38.843422
352,31910,2,1,Potomac Ave & Main Line Blvd,-77.049265,38.822738
353,31912,2,1,Mount Vernon Ave & Bruce St,-77.063093,38.841291
354,31913,3,0,Commonwealth Ave & E Monroe Ave,-77.06282079219818,38.82005823354218
355,31914,3,0,Lee Center,-77.053766,38.797557
356,31915,3,0,Powhatan St & Bashford Ln,-77.047783,38.818748
357,31916,3,0,Potomac Ave & Swann Ave,-77.047844,38.829545
358,31917,4,1,N Lynn St & Fairfax Dr,-77.070862,38.89386
359,31918,4,2,Madison St & Fairfax St,-77.040691,38.812351
360,31919,2,0,Carlin Springs Rd & N Thomas St,-77.112982,38.876695
361,31920,2,0,Washington-Liberty High School / N Stafford St & Generals Way,-77.111066,38.888282
362,31921,2,1,Westover Library / Washington Blvd & N McKinley Rd,-77.142317,38.886048
363,31924,4,1,Wilson Blvd & N Troy St,-77.082089,38.892556
364,31925,0,2,Crystal Dr & Potomac Ave,-77.05122,38.848304
365,32000,4,1,Norfolk Ave & Fairmont St,-77.096539,38.988562
366,32001,2,0,Fenton St & New York Ave ,-77.023082,38.985404
367,32002,4,1,Bethesda Ave & Arlington Rd,-77.097426,38.981103
368,32003,4,1,Montgomery Ave & Waverly St ,-77.09221,38.983838
369,32006,3,0,13th St & Eastern Ave,-77.029417,38.987
370,32008,2,1,Cordell & Norfolk Ave,-77.098029,38.98954
371,32012,0,2,Silver Spring Metro / Colesville Rd & Wayne Ave,-77.02953189611435,38.99489580319022
372,32013,4,1,Montgomery & East Ln,-77.095367,38.983525
373,32014,4,1,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,-77.085998,38.961763
374,32018,3,0,Needwood Rd & Eagles Head Ct,-77.15741,39.123513
375,32019,4,1,East West Hwy & Blair Mill Rd,-77.02935,38.990249
376,32021,4,2,47th & Elm St,-77.091991,38.982456
377,32024,3,0,Fenton St & Gist Ave,-77.023854,38.989724
378,32025,2,1,Carroll & Westmoreland Ave,-77.01121,38.975
379,32026,3,0,Carroll & Ethan Allen Ave,-77.006472,38.977933
380,32027,2,0,Battery Ln & Trolley Trail,-77.100104,38.992375
381,32028,2,1,Norfolk & Rugby Ave,-77.100239,38.990639
382,32029,2,0,Offutt Ln & Chevy Chase Dr,-77.094589,38.977093
383,32033,0,3,Piccard & W Gude Dr,-77.177091,39.102212
384,32035,2,1,Georgia Ave & Spring St,-77.031555,38.999388
385,32036,4,1,Fenton St & Ellsworth Dr ,-77.025608,38.997033
386,32037,0,2,King Farm Blvd & Pleasant Dr,-77.171487,39.114688
387,32038,0,3,King Farm Blvd & Piccard Dr,-77.182669,39.110314
388,32039,4,1,Old Georgetown Rd & Southwick St,-77.109647,38.999634
389,32040,4,1,Friendship Blvd & Willard Ave,-77.088659,38.96115
390,32045,3,0,Shady Grove Metro West,-77.166093,39.119765
391,32046,4,1,River Rd & Landy Ln,-77.103381,38.964992
392,32047,3,0,Rockville Metro West,-77.146866,39.084379
393,32048,4,2,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,-77.094537,38.984691
394,32053,0,2,Medical Center Metro ,-77.097882,38.999378
395,32055,4,1,Woodmont Ave & Strathmore St,-77.093522,38.979875
396,32056,3,0,East West Hwy & 16th St,-77.038721,38.995681
397,32058,2,1,Sligo Ave & Carroll Ln,-77.016311,38.990874
398,32062,1,1,Wheaton Metro / Georgia Ave & Reedie Dr,-77.051023,39.038341
